Sample 1	
4/27/22 15:56	
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.17333
//WLCalib: 261S 	-0.08
//WLCalib: 362S 	-0.3
//WLCalib: 484S 	0.09
//WLCalib: 529S 	0.09
//WLCalib: 823S 	-0.38
//QSpecEnd: 	
190	0.063
190.5	0.081
191	0.165
191.5	0.159
192	0.104
192.5	-0.038
193	-0.164
193.5	-0.27
194	-0.163
194.5	-0.141
195	-0.082
195.5	-0.103
196	-0.244
196.5	-0.372
197	-0.463
197.5	-0.601
198	-0.553
198.5	-0.507
199	-0.427
199.5	-0.417
200	-0.436
200.5	-0.427
201	-0.431
201.5	-0.438
202	-0.438
202.5	-0.404
203	-0.39
203.5	-0.382
204	-0.388
204.5	-0.388
205	-0.379
205.5	-0.38
206	-0.365
206.5	-0.355
207	-0.341
207.5	-0.337
208	-0.336
208.5	-0.331
209	-0.321
209.5	-0.311
210	-0.294
210.5	-0.279
211	-0.269
211.5	-0.269
212	-0.263
212.5	-0.267
213	-0.261
213.5	-0.253
214	-0.25
214.5	-0.25
215	-0.251
215.5	-0.243
216	-0.239
216.5	-0.232
217	-0.225
217.5	-0.216
218	-0.199
218.5	-0.193
219	-0.189
219.5	-0.192
220	-0.187
220.5	-0.186
221	-0.185
221.5	-0.184
222	-0.175
222.5	-0.166
223	-0.153
223.5	-0.149
224	-0.146
224.5	-0.147
225	-0.144
225.5	-0.146
226	-0.143
226.5	-0.142
227	-0.135
227.5	-0.13
228	-0.123
228.5	-0.124
229	-0.119
229.5	-0.116
230	-0.112
230.5	-0.111
231	-0.108
231.5	-0.106
232	-0.104
232.5	-0.102
233	-0.098
233.5	-0.095
234	-0.086
234.5	-0.082
235	-0.074
235.5	-0.073
236	-0.068
236.5	-0.07
237	-0.068
237.5	-0.066
238	-0.06
238.5	-0.058
239	-0.052
239.5	-0.048
240	-0.047
240.5	-0.05
241	-0.051
241.5	-0.055
242	-0.051
242.5	-0.049
243	-0.043
243.5	-0.043
244	-0.039
244.5	-0.04
245	-0.043
245.5	-0.045
246	-0.046
246.5	-0.044
247	-0.041
247.5	-0.04
248	-0.034
248.5	-0.031
249	-0.031
249.5	-0.034
250	-0.038
250.5	-0.039
251	-0.036
251.5	-0.036
252	-0.04
252.5	-0.039
253	-0.037
253.5	-0.037
254	-0.035
254.5	-0.032
255	-0.031
255.5	-0.03
256	-0.027
256.5	-0.026
257	-0.025
257.5	-0.026
258	-0.029
258.5	-0.03
259	-0.032
259.5	-0.033
260	-0.033
260.5	-0.033
261	-0.026
261.5	-0.022
262	-0.023
262.5	-0.023
263	-0.023
263.5	-0.023
264	-0.028
264.5	-0.026
265	-0.03
265.5	-0.031
266	-0.031
266.5	-0.033
267	-0.034
267.5	-0.031
268	-0.031
268.5	-0.031
269	-0.033
269.5	-0.029
270	-0.03
270.5	-0.028
271	-0.027
271.5	-0.024
272	-0.025
272.5	-0.025
273	-0.027
273.5	-0.032
274	-0.036
274.5	-0.032
275	-0.028
275.5	-0.025
276	-0.022
276.5	-0.022
277	-0.024
277.5	-0.024
278	-0.025
278.5	-0.031
279	-0.033
279.5	-0.033
280	-0.031
280.5	-0.028
281	-0.027
281.5	-0.026
282	-0.026
282.5	-0.026
283	-0.025
283.5	-0.023
284	-0.025
284.5	-0.024
285	-0.02
285.5	-0.02
286	-0.018
286.5	-0.02
287	-0.023
287.5	-0.028
288	-0.032
288.5	-0.032
289	-0.034
289.5	-0.029
290	-0.026
290.5	-0.029
291	-0.026
291.5	-0.022
292	-0.016
292.5	-0.015
293	-0.013
293.5	-0.012
294	-0.012
294.5	-0.011
295	-0.013
295.5	-0.016
296	-0.016
296.5	-0.015
297	-0.013
