Sample 1
4/28/2022 1:23 PM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.17333	
//WLCalib: 261S 	-0.08000	
//WLCalib: 362S 	-0.30000	
//WLCalib: 484S 	0.09000	
//WLCalib: 529S 	0.09000	
//WLCalib: 823S 	-0.38000	
//QSpecEnd: 
190.0	-0.166
190.5	-0.323
191.0	-0.477
191.5	-0.775
192.0	-1.088
192.5	-1.474
193.0	-1.628
193.5	-1.486
194.0	-0.919
194.5	-0.081
195.0	0.616
195.5	1.375
196.0	1.941
196.5	2.633
197.0	3.104
197.5	3.295
198.0	3.454
198.5	3.649
199.0	3.796
199.5	3.787
200.0	3.751
200.5	3.655
201.0	3.534
201.5	3.395
202.0	3.255
202.5	3.089
203.0	2.946
203.5	2.791
204.0	2.640
204.5	2.458
205.0	2.295
205.5	2.129
206.0	1.962
206.5	1.813
207.0	1.660
207.5	1.515
208.0	1.390
208.5	1.284
209.0	1.182
209.5	1.086
210.0	1.020
210.5	0.949
211.0	0.912
211.5	0.889
212.0	0.867
212.5	0.863
213.0	0.842
213.5	0.828
214.0	0.806
214.5	0.791
215.0	0.788
215.5	0.777
216.0	0.779
216.5	0.784
217.0	0.787
217.5	0.781
218.0	0.757
218.5	0.739
219.0	0.735
219.5	0.735
220.0	0.728
220.5	0.724
221.0	0.717
221.5	0.707
222.0	0.687
222.5	0.673
223.0	0.659
223.5	0.649
224.0	0.643
224.5	0.628
225.0	0.609
225.5	0.595
226.0	0.572
226.5	0.549
227.0	0.531
227.5	0.522
228.0	0.514
228.5	0.504
229.0	0.491
229.5	0.481
230.0	0.466
230.5	0.449
231.0	0.430
231.5	0.410
232.0	0.390
232.5	0.370
233.0	0.348
233.5	0.322
234.0	0.298
234.5	0.278
235.0	0.259
235.5	0.244
236.0	0.228
236.5	0.214
237.0	0.203
237.5	0.191
238.0	0.175
238.5	0.156
239.0	0.140
239.5	0.131
240.0	0.121
240.5	0.113
241.0	0.108
241.5	0.105
242.0	0.104
242.5	0.100
243.0	0.095
243.5	0.087
244.0	0.084
244.5	0.079
245.0	0.073
245.5	0.070
246.0	0.069
246.5	0.067
247.0	0.069
247.5	0.068
248.0	0.064
248.5	0.062
249.0	0.056
249.5	0.054
250.0	0.054
250.5	0.055
251.0	0.057
251.5	0.056
252.0	0.061
252.5	0.061
253.0	0.057
253.5	0.052
254.0	0.051
254.5	0.052
255.0	0.057
255.5	0.059
256.0	0.062
256.5	0.058
257.0	0.058
257.5	0.057
258.0	0.059
258.5	0.065
259.0	0.074
259.5	0.084
260.0	0.092
260.5	0.098
261.0	0.101
261.5	0.095
262.0	0.087
262.5	0.092
263.0	0.096
263.5	0.107
264.0	0.114
264.5	0.125
265.0	0.132
265.5	0.145
266.0	0.154
266.5	0.157
267.0	0.161
267.5	0.166
268.0	0.166
268.5	0.171
269.0	0.176
269.5	0.187
270.0	0.199
270.5	0.215
271.0	0.228
271.5	0.239
272.0	0.248
272.5	0.250
273.0	0.254
273.5	0.259
274.0	0.264
274.5	0.269
275.0	0.273
275.5	0.276
276.0	0.280
276.5	0.291
277.0	0.300
277.5	0.304
278.0	0.313
278.5	0.318
279.0	0.322
279.5	0.327
280.0	0.326
280.5	0.322
281.0	0.320
281.5	0.320
282.0	0.313
282.5	0.302
283.0	0.296
283.5	0.291
284.0	0.283
284.5	0.280
285.0	0.271
285.5	0.266
286.0	0.262
286.5	0.259
287.0	0.251
287.5	0.242
288.0	0.228
288.5	0.211
289.0	0.193
289.5	0.181
290.0	0.169
290.5	0.153
291.0	0.139
291.5	0.132
292.0	0.122
292.5	0.114
293.0	0.100
293.5	0.089
294.0	0.084
294.5	0.077
295.0	0.071
295.5	0.059
296.0	0.055
296.5	0.055
297.0	0.052
297.5	0.049
298.0	0.046
298.5	0.046
299.0	0.046
299.5	0.040
300.0	0.037
300.5	0.035
301.0	0.037
301.5	0.037
302.0	0.036
302.5	0.033
303.0	0.032
303.5	0.032
304.0	0.029
304.5	0.023
305.0	0.021
305.5	0.017
306.0	0.019
306.5	0.017
307.0	0.015
307.5	0.012
308.0	0.011
308.5	0.012
309.0	0.017
309.5	0.019
310.0	0.019
310.5	0.021
311.0	0.023
311.5	0.023
312.0	0.022
312.5	0.019
313.0	0.017
313.5	0.021
314.0	0.024
314.5	0.021
315.0	0.020
315.5	0.024
316.0	0.024
316.5	0.023
317.0	0.019
317.5	0.016
318.0	0.013
318.5	0.018
319.0	0.010
319.5	0.008
320.0	0.007
320.5	0.006
321.0	0.003
321.5	0.001
322.0	0.004
322.5	0.003
323.0	0.008
323.5	0.012
324.0	0.008
324.5	0.010
325.0	0.009
325.5	0.010
326.0	0.007
326.5	0.010
327.0	0.012
327.5	0.012
328.0	0.025
328.5	0.031
329.0	0.028
329.5	0.029
330.0	0.023
330.5	0.016
331.0	0.005
331.5	-0.007
332.0	-0.016
332.5	-0.016
333.0	-0.010
333.5	-0.004
334.0	-0.001
334.5	0.006
335.0	0.004
335.5	0.005
336.0	0.002
336.5	-0.001
337.0	-0.002
