Sample 1
5/4/2022 2:24 PM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.17333	
//WLCalib: 261S 	-0.08000	
//WLCalib: 362S 	-0.30000	
//WLCalib: 484S 	0.09000	
//WLCalib: 529S 	0.09000	
//WLCalib: 823S 	-0.38000	
//QSpecEnd: 
190.0	0.743
190.5	0.716
191.0	0.436
191.5	0.474
192.0	0.408
192.5	0.306
193.0	0.394
193.5	0.289
194.0	0.203
194.5	0.174
195.0	0.129
195.5	0.026
196.0	-0.064
196.5	0.108
197.0	0.054
197.5	0.067
198.0	0.031
198.5	0.005
199.0	-0.027
199.5	0.015
200.0	0.028
200.5	0.034
201.0	0.040
201.5	0.054
202.0	0.046
202.5	0.033
203.0	0.018
203.5	0.019
204.0	0.028
204.5	0.030
205.0	0.038
205.5	0.038
206.0	0.031
206.5	0.027
207.0	0.023
207.5	0.019
208.0	0.019
208.5	0.017
209.0	0.019
209.5	0.011
210.0	0.012
210.5	0.001
211.0	-0.004
211.5	-0.013
212.0	-0.007
212.5	-0.002
213.0	-0.001
213.5	-0.002
214.0	0.002
214.5	-0.001
215.0	-0.006
215.5	-0.005
216.0	-0.003
216.5	-0.002
217.0	-0.002
217.5	-0.008
218.0	-0.004
218.5	-0.005
219.0	-0.003
219.5	-0.009
220.0	-0.019
220.5	-0.024
221.0	-0.023
221.5	-0.023
222.0	-0.026
222.5	-0.027
223.0	-0.018
223.5	-0.010
224.0	-0.007
224.5	-0.007
225.0	-0.010
225.5	-0.006
226.0	-0.001
226.5	-0.005
227.0	-0.006
227.5	-0.006
228.0	-0.003
228.5	0.001
229.0	-0.001
229.5	-0.001
230.0	0.001
230.5	-0.002
231.0	-0.005
231.5	-0.005
232.0	-0.005
232.5	-0.008
233.0	-0.008
233.5	-0.006
234.0	-0.006
234.5	-0.007
235.0	-0.006
235.5	-0.006
236.0	-0.003
236.5	-0.004
237.0	-0.006
237.5	-0.012
238.0	-0.013
238.5	-0.019
239.0	-0.022
239.5	-0.023
240.0	-0.018
240.5	-0.015
241.0	-0.013
241.5	-0.011
242.0	-0.007
242.5	-0.005
243.0	-0.006
243.5	-0.008
244.0	-0.004
244.5	-0.004
245.0	-0.001
245.5	-0.004
246.0	-0.006
246.5	-0.007
247.0	-0.006
247.5	-0.004
248.0	-0.011
248.5	-0.011
249.0	-0.010
249.5	-0.008
250.0	-0.005
250.5	-0.008
251.0	-0.008
251.5	-0.009
252.0	-0.011
252.5	-0.010
253.0	-0.016
253.5	-0.012
254.0	-0.009
254.5	-0.007
255.0	-0.004
255.5	-0.002
256.0	-0.001
256.5	-0.004
257.0	-0.006
257.5	-0.006
258.0	-0.008
258.5	-0.007
259.0	-0.012
259.5	-0.013
260.0	-0.012
260.5	-0.012
261.0	-0.014
261.5	-0.017
262.0	-0.013
262.5	-0.009
263.0	-0.003
263.5	-0.006
264.0	-0.009
264.5	-0.008
265.0	-0.009
265.5	-0.011
266.0	-0.014
266.5	-0.011
267.0	-0.008
267.5	-0.011
268.0	-0.009
268.5	-0.014
269.0	-0.013
269.5	-0.009
270.0	-0.009
270.5	-0.008
271.0	-0.006
271.5	-0.003
272.0	-0.005
272.5	-0.006
273.0	-0.006
273.5	-0.007
274.0	-0.007
274.5	-0.008
275.0	-0.010
275.5	-0.007
276.0	-0.005
276.5	-0.002
277.0	-0.005
277.5	-0.007
278.0	-0.008
278.5	-0.007
279.0	-0.010
279.5	-0.010
280.0	-0.010
280.5	-0.009
281.0	-0.008
281.5	-0.004
282.0	-0.005
282.5	-0.003
283.0	-0.001
283.5	0.000
284.0	0.000
284.5	0.001
285.0	0.002
285.5	-0.001
286.0	-0.003
286.5	-0.002
287.0	-0.004
287.5	-0.005
288.0	-0.008
288.5	-0.010
289.0	-0.011
289.5	-0.011
290.0	-0.009
290.5	-0.010
291.0	-0.010
291.5	-0.010
292.0	-0.011
292.5	-0.012
293.0	-0.009
293.5	-0.009
294.0	-0.007
294.5	-0.006
295.0	-0.003
295.5	-0.001
296.0	0.003
296.5	0.001
297.0	0.001
297.5	0.001
298.0	0.001
298.5	0.001
299.0	-0.003
299.5	-0.008
300.0	-0.010
300.5	-0.010
301.0	-0.008
301.5	-0.010
302.0	-0.008
302.5	-0.010
303.0	-0.009
303.5	-0.006
304.0	-0.005
304.5	-0.002
305.0	0.002
305.5	0.005
306.0	0.003
306.5	0.001
307.0	-0.003
307.5	-0.007
308.0	-0.008
308.5	-0.012
309.0	-0.014
309.5	-0.016
310.0	-0.015
310.5	-0.017
311.0	-0.019
311.5	-0.020
312.0	-0.021
312.5	-0.020
313.0	-0.020
313.5	-0.022
314.0	-0.021
314.5	-0.019
315.0	-0.017
315.5	-0.016
316.0	-0.015
316.5	-0.016
317.0	-0.017
317.5	-0.017
318.0	-0.017
318.5	-0.019
319.0	-0.021
319.5	-0.019
320.0	-0.019
320.5	-0.024
321.0	-0.027
321.5	-0.028
322.0	-0.030
322.5	-0.028
323.0	-0.023
323.5	-0.017
324.0	-0.013
324.5	-0.004
325.0	-0.006
