Sample 1
5/5/2022 12:45 PM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.17333	
//WLCalib: 261S 	-0.08000	
//WLCalib: 362S 	-0.30000	
//WLCalib: 484S 	0.09000	
//WLCalib: 529S 	0.09000	
//WLCalib: 823S 	-0.38000	
//QSpecEnd: 
190.0	-0.713
190.5	-0.999
191.0	-0.731
191.5	-0.797
192.0	-0.736
192.5	-0.604
193.0	-0.383
193.5	-0.090
194.0	-0.076
194.5	-0.107
195.0	-0.237
195.5	-0.198
196.0	-0.228
196.5	-0.248
197.0	-0.103
197.5	0.010
198.0	-0.151
198.5	-0.110
199.0	-0.117
199.5	-0.107
200.0	-0.110
200.5	-0.129
201.0	-0.144
201.5	-0.143
202.0	-0.161
202.5	-0.158
203.0	-0.162
203.5	-0.157
204.0	-0.137
204.5	-0.136
205.0	-0.139
205.5	-0.132
206.0	-0.128
206.5	-0.109
207.0	-0.107
207.5	-0.102
208.0	-0.092
208.5	-0.095
209.0	-0.107
209.5	-0.116
210.0	-0.115
210.5	-0.112
211.0	-0.113
211.5	-0.109
212.0	-0.108
212.5	-0.093
213.0	-0.081
213.5	-0.076
214.0	-0.079
214.5	-0.075
215.0	-0.077
215.5	-0.090
216.0	-0.098
216.5	-0.087
217.0	-0.072
217.5	-0.069
218.0	-0.066
218.5	-0.054
219.0	-0.052
219.5	-0.055
220.0	-0.053
220.5	-0.053
221.0	-0.044
221.5	-0.041
222.0	-0.047
222.5	-0.049
223.0	-0.049
223.5	-0.052
224.0	-0.058
224.5	-0.058
225.0	-0.056
225.5	-0.055
226.0	-0.060
226.5	-0.062
227.0	-0.058
227.5	-0.050
228.0	-0.050
228.5	-0.053
229.0	-0.048
229.5	-0.045
230.0	-0.044
230.5	-0.039
231.0	-0.034
231.5	-0.032
232.0	-0.027
232.5	-0.026
233.0	-0.024
233.5	-0.022
234.0	-0.018
234.5	-0.017
235.0	-0.019
235.5	-0.019
236.0	-0.017
236.5	-0.016
237.0	-0.019
237.5	-0.022
238.0	-0.021
238.5	-0.017
239.0	-0.017
239.5	-0.015
240.0	-0.020
240.5	-0.018
241.0	-0.015
241.5	-0.016
242.0	-0.021
242.5	-0.020
243.0	-0.019
243.5	-0.014
244.0	-0.012
244.5	-0.007
245.0	-0.004
245.5	-0.001
246.0	-0.004
246.5	-0.007
247.0	-0.011
247.5	-0.013
248.0	-0.019
248.5	-0.017
249.0	-0.010
249.5	-0.007
250.0	-0.006
250.5	-0.006
251.0	-0.005
251.5	-0.003
252.0	-0.005
252.5	-0.005
253.0	-0.010
253.5	-0.008
254.0	-0.007
254.5	-0.007
255.0	-0.005
255.5	-0.002
256.0	-0.001
256.5	0.003
257.0	0.005
257.5	0.008
258.0	0.006
258.5	0.004
259.0	-0.003
259.5	-0.003
260.0	-0.005
260.5	-0.008
261.0	-0.010
261.5	-0.005
262.0	-0.006
262.5	-0.006
263.0	-0.007
263.5	-0.012
264.0	-0.015
264.5	-0.016
265.0	-0.014
265.5	-0.014
266.0	-0.009
266.5	0.000
267.0	-0.004
267.5	-0.002
268.0	-0.005
268.5	-0.006
269.0	-0.004
269.5	-0.003
270.0	-0.004
270.5	-0.010
271.0	-0.011
271.5	-0.013
272.0	-0.021
272.5	-0.023
273.0	-0.027
273.5	-0.022
274.0	-0.012
274.5	-0.007
275.0	-0.007
275.5	-0.005
276.0	-0.007
276.5	-0.009
277.0	-0.015
277.5	-0.020
278.0	-0.021
278.5	-0.019
279.0	-0.016
279.5	-0.014
280.0	-0.016
280.5	-0.017
281.0	-0.022
281.5	-0.024
282.0	-0.029
282.5	-0.032
283.0	-0.028
283.5	-0.024
284.0	-0.019
284.5	-0.016
285.0	-0.014
285.5	-0.011
286.0	-0.012
286.5	-0.012
287.0	-0.014
287.5	-0.017
288.0	-0.015
288.5	-0.014
289.0	-0.013
289.5	-0.012
290.0	-0.013
290.5	-0.013
291.0	-0.013
291.5	-0.014
292.0	-0.018
292.5	-0.021
293.0	-0.021
293.5	-0.018
294.0	-0.017
294.5	-0.017
295.0	-0.015
295.5	-0.012
296.0	-0.010
296.5	-0.018
297.0	-0.021
297.5	-0.024
298.0	-0.027
298.5	-0.025
299.0	-0.023
299.5	-0.015
300.0	-0.010
300.5	-0.006
301.0	0.000
301.5	-0.002
302.0	0.000
302.5	0.000
303.0	0.000
303.5	-0.002
304.0	0.002
304.5	0.004
305.0	0.001
305.5	0.002
306.0	0.010
306.5	0.009
307.0	0.003
307.5	0.004
308.0	0.006
308.5	0.004
309.0	0.007
309.5	0.005
310.0	0.005
310.5	0.006
311.0	0.007
311.5	0.003
312.0	-0.003
312.5	0.006
313.0	0.010
313.5	0.005
314.0	0.002
314.5	-0.001
315.0	-0.006
315.5	-0.011
316.0	-0.013
316.5	-0.009
317.0	-0.002
317.5	0.011
318.0	0.018
318.5	0.017
319.0	0.015
319.5	0.009
320.0	0.004
320.5	0.002
321.0	0.007
321.5	0.010
322.0	0.007
322.5	0.008
323.0	0.006
323.5	0.000
324.0	-0.008
