Sample 1
5/6/2022 2:22 PM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.17333	
//WLCalib: 261S 	-0.08000	
//WLCalib: 362S 	-0.30000	
//WLCalib: 484S 	0.09000	
//WLCalib: 529S 	0.09000	
//WLCalib: 823S 	-0.38000	
//QSpecEnd: 
190.0	-0.519
190.5	-0.774
191.0	-0.745
191.5	-0.572
192.0	-0.880
192.5	-0.643
193.0	-0.492
193.5	-0.381
194.0	-0.303
194.5	-0.395
195.0	-0.232
195.5	-0.095
196.0	-0.092
196.5	-0.063
197.0	-0.131
197.5	-0.102
198.0	-0.139
198.5	-0.160
199.0	-0.145
199.5	-0.122
200.0	-0.111
200.5	-0.093
201.0	-0.081
201.5	-0.084
202.0	-0.068
202.5	-0.066
203.0	-0.069
203.5	-0.069
204.0	-0.065
204.5	-0.060
205.0	-0.076
205.5	-0.076
206.0	-0.086
206.5	-0.092
207.0	-0.086
207.5	-0.093
208.0	-0.099
208.5	-0.105
209.0	-0.093
209.5	-0.104
210.0	-0.103
210.5	-0.115
211.0	-0.118
211.5	-0.113
212.0	-0.104
212.5	-0.098
213.0	-0.098
213.5	-0.096
214.0	-0.092
214.5	-0.088
215.0	-0.091
215.5	-0.087
216.0	-0.076
216.5	-0.071
217.0	-0.069
217.5	-0.073
218.0	-0.080
218.5	-0.084
219.0	-0.087
219.5	-0.087
220.0	-0.098
220.5	-0.094
221.0	-0.084
221.5	-0.084
222.0	-0.087
222.5	-0.088
223.0	-0.087
223.5	-0.084
224.0	-0.079
224.5	-0.077
225.0	-0.082
225.5	-0.081
226.0	-0.077
226.5	-0.081
227.0	-0.079
227.5	-0.072
228.0	-0.071
228.5	-0.067
229.0	-0.060
229.5	-0.059
230.0	-0.063
230.5	-0.065
231.0	-0.070
231.5	-0.074
232.0	-0.076
232.5	-0.076
233.0	-0.077
233.5	-0.076
234.0	-0.075
234.5	-0.071
235.0	-0.072
235.5	-0.069
236.0	-0.071
236.5	-0.071
237.0	-0.069
237.5	-0.071
238.0	-0.071
238.5	-0.078
239.0	-0.080
239.5	-0.079
240.0	-0.079
240.5	-0.075
241.0	-0.069
241.5	-0.063
242.0	-0.055
242.5	-0.053
243.0	-0.053
243.5	-0.058
244.0	-0.065
244.5	-0.072
245.0	-0.076
245.5	-0.076
246.0	-0.074
246.5	-0.069
247.0	-0.060
247.5	-0.054
248.0	-0.050
248.5	-0.053
249.0	-0.061
249.5	-0.069
250.0	-0.077
250.5	-0.085
251.0	-0.089
251.5	-0.087
252.0	-0.082
252.5	-0.079
253.0	-0.075
253.5	-0.072
254.0	-0.072
254.5	-0.077
255.0	-0.076
255.5	-0.076
256.0	-0.073
256.5	-0.071
257.0	-0.068
257.5	-0.072
258.0	-0.071
258.5	-0.070
259.0	-0.067
259.5	-0.065
260.0	-0.059
260.5	-0.055
261.0	-0.051
261.5	-0.050
262.0	-0.056
262.5	-0.065
263.0	-0.075
263.5	-0.079
264.0	-0.084
264.5	-0.082
265.0	-0.081
265.5	-0.074
266.0	-0.068
266.5	-0.061
267.0	-0.060
267.5	-0.057
268.0	-0.063
268.5	-0.066
269.0	-0.073
269.5	-0.072
270.0	-0.072
270.5	-0.069
271.0	-0.068
271.5	-0.064
272.0	-0.062
272.5	-0.057
273.0	-0.059
273.5	-0.065
274.0	-0.068
274.5	-0.069
275.0	-0.070
275.5	-0.070
276.0	-0.074
276.5	-0.076
277.0	-0.075
277.5	-0.073
278.0	-0.072
278.5	-0.073
279.0	-0.074
279.5	-0.073
280.0	-0.068
280.5	-0.066
281.0	-0.065
281.5	-0.064
282.0	-0.058
282.5	-0.059
283.0	-0.058
283.5	-0.059
284.0	-0.060
284.5	-0.060
285.0	-0.059
285.5	-0.060
286.0	-0.059
286.5	-0.061
287.0	-0.062
287.5	-0.065
288.0	-0.062
288.5	-0.060
289.0	-0.062
289.5	-0.062
290.0	-0.061
290.5	-0.059
291.0	-0.057
291.5	-0.061
292.0	-0.065
292.5	-0.067
293.0	-0.068
293.5	-0.069
294.0	-0.070
294.5	-0.070
295.0	-0.068
295.5	-0.063
296.0	-0.056
296.5	-0.051
297.0	-0.051
297.5	-0.048
298.0	-0.047
298.5	-0.052
299.0	-0.055
299.5	-0.061
300.0	-0.066
300.5	-0.068
301.0	-0.068
301.5	-0.070
302.0	-0.071
302.5	-0.069
303.0	-0.069
303.5	-0.073
304.0	-0.069
304.5	-0.065
305.0	-0.060
305.5	-0.054
306.0	-0.055
306.5	-0.057
307.0	-0.058
307.5	-0.062
308.0	-0.066
308.5	-0.071
309.0	-0.071
309.5	-0.068
310.0	-0.065
310.5	-0.062
311.0	-0.060
311.5	-0.057
312.0	-0.055
312.5	-0.054
313.0	-0.054
313.5	-0.060
314.0	-0.061
314.5	-0.063
315.0	-0.071
315.5	-0.072
316.0	-0.072
316.5	-0.072
317.0	-0.071
317.5	-0.071
318.0	-0.066
318.5	-0.067
319.0	-0.066
319.5	-0.064
320.0	-0.066
320.5	-0.062
321.0	-0.067
321.5	-0.074
