Sample 1
5/9/2022 5:36 PM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.17333	
//WLCalib: 261S 	-0.08000	
//WLCalib: 362S 	-0.30000	
//WLCalib: 484S 	0.09000	
//WLCalib: 529S 	0.09000	
//WLCalib: 823S 	-0.38000	
//QSpecEnd: 
190.0	1.257
190.5	1.213
191.0	0.977
191.5	0.725
192.0	0.560
192.5	0.463
193.0	0.286
193.5	0.130
194.0	0.031
194.5	-0.010
195.0	-0.091
195.5	-0.156
196.0	-0.190
196.5	-0.204
197.0	-0.209
197.5	-0.197
198.0	-0.214
198.5	-0.213
199.0	-0.197
199.5	-0.188
200.0	-0.178
200.5	-0.183
201.0	-0.193
201.5	-0.202
202.0	-0.204
202.5	-0.197
203.0	-0.196
203.5	-0.186
204.0	-0.175
204.5	-0.166
205.0	-0.159
205.5	-0.153
206.0	-0.146
206.5	-0.138
207.0	-0.129
207.5	-0.117
208.0	-0.107
208.5	-0.099
209.0	-0.091
209.5	-0.088
210.0	-0.080
210.5	-0.087
211.0	-0.084
211.5	-0.073
212.0	-0.065
212.5	-0.055
213.0	-0.062
213.5	-0.064
214.0	-0.066
214.5	-0.068
215.0	-0.065
215.5	-0.071
216.0	-0.063
216.5	-0.054
217.0	-0.041
217.5	-0.033
218.0	-0.028
218.5	-0.021
219.0	-0.017
219.5	-0.022
220.0	-0.031
220.5	-0.033
221.0	-0.045
221.5	-0.050
222.0	-0.052
222.5	-0.052
223.0	-0.047
223.5	-0.049
224.0	-0.051
224.5	-0.065
225.0	-0.070
225.5	-0.067
226.0	-0.067
226.5	-0.063
227.0	-0.058
227.5	-0.047
228.0	-0.037
228.5	-0.032
229.0	-0.029
229.5	-0.026
230.0	-0.025
230.5	-0.026
231.0	-0.031
231.5	-0.034
232.0	-0.038
232.5	-0.039
233.0	-0.037
233.5	-0.035
234.0	-0.031
234.5	-0.029
235.0	-0.031
235.5	-0.033
236.0	-0.035
236.5	-0.039
237.0	-0.043
237.5	-0.040
238.0	-0.035
238.5	-0.034
239.0	-0.033
239.5	-0.035
240.0	-0.037
240.5	-0.033
241.0	-0.033
241.5	-0.037
242.0	-0.041
242.5	-0.042
243.0	-0.041
243.5	-0.038
244.0	-0.038
244.5	-0.035
245.0	-0.034
245.5	-0.028
246.0	-0.025
246.5	-0.021
247.0	-0.024
247.5	-0.024
248.0	-0.020
248.5	-0.019
249.0	-0.024
249.5	-0.027
250.0	-0.029
250.5	-0.031
251.0	-0.028
251.5	-0.022
252.0	-0.023
252.5	-0.019
253.0	-0.017
253.5	-0.018
254.0	-0.022
254.5	-0.022
255.0	-0.028
255.5	-0.031
256.0	-0.029
256.5	-0.023
257.0	-0.020
257.5	-0.013
258.0	-0.010
258.5	-0.006
259.0	-0.002
259.5	0.002
260.0	0.001
260.5	-0.001
261.0	-0.001
261.5	0.001
262.0	-0.005
262.5	-0.013
263.0	-0.017
263.5	-0.021
264.0	-0.021
264.5	-0.020
265.0	-0.014
265.5	-0.006
266.0	0.003
266.5	0.008
267.0	0.004
267.5	0.006
268.0	0.005
268.5	0.003
269.0	0.005
269.5	0.009
270.0	0.011
270.5	0.015
271.0	0.008
271.5	0.003
272.0	0.001
272.5	0.003
273.0	-0.002
273.5	0.000
274.0	-0.001
274.5	-0.001
275.0	-0.002
275.5	-0.003
276.0	-0.003
276.5	-0.002
277.0	0.003
277.5	0.008
278.0	0.008
278.5	0.009
279.0	0.008
279.5	0.009
280.0	0.010
280.5	0.012
281.0	0.016
281.5	0.015
282.0	0.015
282.5	0.013
283.0	0.010
283.5	0.010
284.0	0.009
284.5	0.008
285.0	0.005
285.5	0.004
286.0	0.003
286.5	0.003
287.0	0.000
287.5	0.001
288.0	0.003
288.5	0.010
289.0	0.015
289.5	0.018
290.0	0.019
290.5	0.015
291.0	0.010
291.5	0.011
292.0	0.004
292.5	0.002
293.0	0.004
293.5	0.011
294.0	0.017
294.5	0.019
295.0	0.019
295.5	0.013
296.0	0.009
296.5	0.014
297.0	0.012
297.5	0.015
298.0	0.018
298.5	0.024
299.0	0.028
299.5	0.022
300.0	0.017
300.5	0.017
301.0	0.017
301.5	0.016
302.0	0.016
302.5	0.013
303.0	0.014
303.5	0.018
304.0	0.016
304.5	0.012
305.0	0.013
305.5	0.014
306.0	0.012
306.5	0.006
307.0	0.006
307.5	0.004
308.0	0.009
308.5	0.010
309.0	0.008
309.5	0.013
310.0	0.017
310.5	0.014
311.0	0.014
311.5	0.015
312.0	0.014
312.5	0.013
313.0	0.013
313.5	0.011
314.0	0.013
314.5	0.015
315.0	0.017
315.5	0.015
316.0	0.021
316.5	0.026
317.0	0.024
317.5	0.022
318.0	0.020
318.5	0.017
319.0	0.015
319.5	0.009
320.0	0.010
320.5	0.007
321.0	0.011
321.5	0.014
322.0	0.011
322.5	0.008
323.0	0.007
323.5	0.005
324.0	0.011
324.5	0.013
325.0	0.016
325.5	0.015
326.0	0.017
326.5	0.020
327.0	0.020
327.5	0.022
328.0	0.017
328.5	0.014
329.0	0.013
