Sample 1
5/10/2022 11:45 AM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.17333	
//WLCalib: 261S 	-0.08000	
//WLCalib: 362S 	-0.30000	
//WLCalib: 484S 	0.09000	
//WLCalib: 529S 	0.09000	
//WLCalib: 823S 	-0.38000	
//QSpecEnd: 
190.0	0.250
190.5	0.318
191.0	0.375
191.5	0.494
192.0	0.360
192.5	0.212
193.0	0.155
193.5	0.100
194.0	0.066
194.5	0.148
195.0	0.359
195.5	0.562
196.0	0.671
196.5	0.665
197.0	0.558
197.5	0.279
198.0	0.174
198.5	-0.113
199.0	-0.193
199.5	-0.129
200.0	-0.043
200.5	0.037
201.0	0.062
201.5	0.106
202.0	0.084
202.5	-0.026
203.0	-0.040
203.5	-0.062
204.0	0.032
204.5	0.054
205.0	0.049
205.5	0.051
206.0	0.047
206.5	0.037
207.0	0.021
207.5	-0.001
208.0	-0.016
208.5	0.000
209.0	0.000
209.5	0.000
210.0	0.000
210.5	0.000
211.0	0.000
211.5	0.001
212.0	-0.029
212.5	-0.012
213.0	0.012
213.5	0.044
214.0	0.104
214.5	0.143
215.0	0.162
215.5	0.160
216.0	0.138
216.5	0.094
217.0	0.020
217.5	0.021
218.0	-0.023
218.5	-0.008
219.0	0.000
219.5	0.000
220.0	0.000
220.5	0.000
221.0	0.000
221.5	0.000
222.0	0.000
222.5	0.000
223.0	0.000
223.5	0.000
224.0	0.000
224.5	0.000
225.0	0.000
225.5	0.000
226.0	0.000
226.5	0.000
227.0	0.000
227.5	0.000
228.0	0.000
228.5	0.000
229.0	0.000
229.5	0.000
230.0	0.000
230.5	0.000
231.0	0.000
231.5	0.000
232.0	0.000
232.5	0.000
233.0	0.000
233.5	0.000
234.0	0.000
234.5	0.000
235.0	0.000
235.5	0.000
236.0	0.000
236.5	0.000
237.0	0.000
237.5	0.000
238.0	0.000
238.5	0.000
239.0	0.000
239.5	0.000
240.0	-0.001
240.5	0.008
241.0	0.020
241.5	-0.010
242.0	-0.044
242.5	-0.067
243.0	-0.081
243.5	-0.085
244.0	-0.078
244.5	-0.061
245.0	-0.034
245.5	-0.002
246.0	0.024
246.5	0.001
247.0	0.000
247.5	0.000
248.0	0.000
248.5	0.000
249.0	0.000
249.5	0.000
250.0	0.000
250.5	0.000
251.0	0.000
251.5	0.000
252.0	0.000
252.5	0.000
253.0	0.000
253.5	0.000
254.0	0.000
254.5	0.000
255.0	0.000
255.5	0.000
256.0	0.000
256.5	0.000
257.0	0.000
257.5	0.000
258.0	0.000
258.5	0.000
259.0	0.000
259.5	0.000
260.0	0.000
260.5	0.000
261.0	0.000
261.5	0.000
262.0	0.000
262.5	0.000
263.0	0.000
263.5	0.000
264.0	0.000
264.5	0.000
265.0	0.000
265.5	0.000
266.0	0.000
266.5	0.000
267.0	0.000
267.5	0.000
268.0	0.000
268.5	0.000
269.0	0.000
269.5	0.000
270.0	0.000
270.5	0.000
271.0	0.000
271.5	0.000
272.0	0.000
272.5	0.000
273.0	0.000
273.5	0.000
274.0	0.000
274.5	0.000
275.0	0.000
275.5	0.000
276.0	0.000
276.5	0.000
277.0	0.000
277.5	0.000
278.0	0.000
278.5	0.000
279.0	0.000
279.5	0.000
280.0	0.000
280.5	0.000
281.0	0.000
281.5	0.000
282.0	0.000
282.5	0.000
283.0	-0.001
283.5	0.000
284.0	0.001
284.5	0.006
285.0	-0.044
285.5	0.000
286.0	0.056
286.5	0.097
287.0	0.123
287.5	0.133
288.0	0.127
288.5	0.107
289.0	0.072
289.5	0.025
290.0	-0.079
290.5	-0.038
291.0	0.061
291.5	-0.204
292.0	-0.286
292.5	-0.036
293.0	0.780
293.5	2.185
294.0	3.890
294.5	5.600
295.0	7.179
295.5	8.386
296.0	9.081
296.5	8.800
297.0	8.240
297.5	7.590
298.0	7.146
298.5	6.828
299.0	6.495
299.5	6.187
300.0	5.956
300.5	5.663
301.0	5.473
301.5	5.002
302.0	4.683
302.5	4.119
303.0	2.981
303.5	1.424
304.0	-0.299
304.5	-2.032
305.0	-3.542
305.5	-4.661
306.0	-5.263
306.5	-5.357
307.0	-4.937
307.5	-4.611
308.0	-4.463
308.5	-4.341
309.0	-4.266
309.5	-4.239
310.0	-4.198
310.5	-4.163
311.0	-4.139
311.5	-4.117
312.0	-4.097
312.5	-4.071
313.0	-4.060
313.5	-4.051
314.0	-4.031
314.5	-4.007
315.0	-3.989
315.5	-3.970
316.0	-3.959
316.5	-3.946
317.0	-3.940
317.5	-3.928
318.0	-3.916
318.5	-3.905
319.0	-3.894
319.5	-3.885
320.0	-3.887
320.5	-3.880
321.0	-3.872
321.5	-3.875
322.0	-3.878
322.5	-3.870
323.0	-3.869
323.5	-3.870
324.0	-3.869
324.5	-3.875
325.0	-3.877
325.5	-3.877
326.0	-3.878
326.5	-3.881
327.0	-3.882
327.5	-3.880
328.0	-3.879
328.5	-3.874
329.0	-3.871
329.5	-3.874
330.0	-3.875
330.5	-3.876
331.0	-3.874
331.5	-3.875
332.0	-3.875
332.5	-3.877
