Sample 1
5/20/2022 2:11 PM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.17333	
//WLCalib: 261S 	-0.08000	
//WLCalib: 362S 	-0.30000	
//WLCalib: 484S 	0.09000	
//WLCalib: 529S 	0.09000	
//WLCalib: 823S 	-0.38000	
//QSpecEnd: 
190.0	-0.110
190.5	0.016
191.0	0.215
191.5	0.521
192.0	0.375
192.5	0.123
193.0	0.127
193.5	-0.003
194.0	-0.201
194.5	-0.164
195.0	-0.265
195.5	-0.438
196.0	-0.336
196.5	-0.203
197.0	-0.293
197.5	-0.282
198.0	-0.289
198.5	-0.269
199.0	-0.265
199.5	-0.256
200.0	-0.236
200.5	-0.227
201.0	-0.214
201.5	-0.215
202.0	-0.209
202.5	-0.197
203.0	-0.192
203.5	-0.195
204.0	-0.192
204.5	-0.185
205.0	-0.192
205.5	-0.196
206.0	-0.186
206.5	-0.196
207.0	-0.200
207.5	-0.195
208.0	-0.197
208.5	-0.188
209.0	-0.182
209.5	-0.177
210.0	-0.167
210.5	-0.162
211.0	-0.159
211.5	-0.164
212.0	-0.161
212.5	-0.164
213.0	-0.164
213.5	-0.161
214.0	-0.162
214.5	-0.159
215.0	-0.148
215.5	-0.140
216.0	-0.142
216.5	-0.143
217.0	-0.139
217.5	-0.135
218.0	-0.126
218.5	-0.130
219.0	-0.130
219.5	-0.131
220.0	-0.131
220.5	-0.141
221.0	-0.148
221.5	-0.145
222.0	-0.137
222.5	-0.131
223.0	-0.128
223.5	-0.133
224.0	-0.130
224.5	-0.128
225.0	-0.130
225.5	-0.129
226.0	-0.119
226.5	-0.112
227.0	-0.106
227.5	-0.097
228.0	-0.090
228.5	-0.087
229.0	-0.081
229.5	-0.078
230.0	-0.077
230.5	-0.079
231.0	-0.080
231.5	-0.088
232.0	-0.092
232.5	-0.095
233.0	-0.097
233.5	-0.098
234.0	-0.095
234.5	-0.092
235.0	-0.089
235.5	-0.088
236.0	-0.091
236.5	-0.093
237.0	-0.092
237.5	-0.090
238.0	-0.089
238.5	-0.091
239.0	-0.094
239.5	-0.098
240.0	-0.102
240.5	-0.103
241.0	-0.103
241.5	-0.092
242.0	-0.086
242.5	-0.076
243.0	-0.075
243.5	-0.079
244.0	-0.086
244.5	-0.091
245.0	-0.095
245.5	-0.093
246.0	-0.089
246.5	-0.079
247.0	-0.071
247.5	-0.060
248.0	-0.061
248.5	-0.064
249.0	-0.071
249.5	-0.083
250.0	-0.094
250.5	-0.097
251.0	-0.098
251.5	-0.095
252.0	-0.091
252.5	-0.084
253.0	-0.082
253.5	-0.078
254.0	-0.082
254.5	-0.092
255.0	-0.099
255.5	-0.102
256.0	-0.106
256.5	-0.110
257.0	-0.106
257.5	-0.103
258.0	-0.097
258.5	-0.086
259.0	-0.077
259.5	-0.071
260.0	-0.063
260.5	-0.059
261.0	-0.064
261.5	-0.068
262.0	-0.074
262.5	-0.091
263.0	-0.103
263.5	-0.105
264.0	-0.107
264.5	-0.109
265.0	-0.104
265.5	-0.100
266.0	-0.099
266.5	-0.093
267.0	-0.088
267.5	-0.090
268.0	-0.084
268.5	-0.077
269.0	-0.079
269.5	-0.080
270.0	-0.077
270.5	-0.072
271.0	-0.071
271.5	-0.071
272.0	-0.066
272.5	-0.064
273.0	-0.061
273.5	-0.067
274.0	-0.076
274.5	-0.081
275.0	-0.082
275.5	-0.082
276.0	-0.081
276.5	-0.081
277.0	-0.076
277.5	-0.070
278.0	-0.068
278.5	-0.068
279.0	-0.063
279.5	-0.060
280.0	-0.059
280.5	-0.054
281.0	-0.048
281.5	-0.049
282.0	-0.046
282.5	-0.049
283.0	-0.051
283.5	-0.051
284.0	-0.053
284.5	-0.054
285.0	-0.054
285.5	-0.048
286.0	-0.040
286.5	-0.044
287.0	-0.045
287.5	-0.052
288.0	-0.059
288.5	-0.067
289.0	-0.069
289.5	-0.069
290.0	-0.067
290.5	-0.060
291.0	-0.056
291.5	-0.057
292.0	-0.057
292.5	-0.059
293.0	-0.055
293.5	-0.052
294.0	-0.044
294.5	-0.043
295.0	-0.045
295.5	-0.045
296.0	-0.047
296.5	-0.046
297.0	-0.051
297.5	-0.052
298.0	-0.050
298.5	-0.055
299.0	-0.058
299.5	-0.065
300.0	-0.073
300.5	-0.074
301.0	-0.071
301.5	-0.071
302.0	-0.070
302.5	-0.067
303.0	-0.066
303.5	-0.071
304.0	-0.075
304.5	-0.080
305.0	-0.084
305.5	-0.086
306.0	-0.088
306.5	-0.089
307.0	-0.084
307.5	-0.079
308.0	-0.077
308.5	-0.078
309.0	-0.075
309.5	-0.074
310.0	-0.078
310.5	-0.076
311.0	-0.076
311.5	-0.075
312.0	-0.076
312.5	-0.076
313.0	-0.078
313.5	-0.077
314.0	-0.074
314.5	-0.072
315.0	-0.071
315.5	-0.065
316.0	-0.068
316.5	-0.072
317.0	-0.079
317.5	-0.085
318.0	-0.091
318.5	-0.098
319.0	-0.101
319.5	-0.095
320.0	-0.089
320.5	-0.089
321.0	-0.090
321.5	-0.090
322.0	-0.088
