Sample 1
6/4/2022 4:29 PM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.17333	
//WLCalib: 261S 	-0.08000	
//WLCalib: 362S 	-0.30000	
//WLCalib: 484S 	0.09000	
//WLCalib: 529S 	0.09000	
//WLCalib: 823S 	-0.38000	
//QSpecEnd: 
190.0	-0.433
190.5	0.002
191.0	-0.165
191.5	-0.284
192.0	-0.550
192.5	-0.748
193.0	-0.804
193.5	-0.921
194.0	-1.052
194.5	-0.866
195.0	-0.627
195.5	-0.342
196.0	-0.124
196.5	-0.101
197.0	-0.091
197.5	-0.071
198.0	-0.077
198.5	-0.100
199.0	-0.151
199.5	-0.172
200.0	-0.164
200.5	-0.156
201.0	-0.143
201.5	-0.130
202.0	-0.119
202.5	-0.126
203.0	-0.129
203.5	-0.138
204.0	-0.140
204.5	-0.139
205.0	-0.136
205.5	-0.134
206.0	-0.125
206.5	-0.124
207.0	-0.129
207.5	-0.134
208.0	-0.128
208.5	-0.116
209.0	-0.106
209.5	-0.103
210.0	-0.101
210.5	-0.092
211.0	-0.095
211.5	-0.097
212.0	-0.103
212.5	-0.108
213.0	-0.111
213.5	-0.102
214.0	-0.093
214.5	-0.091
215.0	-0.082
215.5	-0.069
216.0	-0.072
216.5	-0.059
217.0	-0.066
217.5	-0.072
218.0	-0.078
218.5	-0.080
219.0	-0.089
219.5	-0.105
220.0	-0.099
220.5	-0.097
221.0	-0.097
221.5	-0.090
222.0	-0.086
222.5	-0.082
223.0	-0.082
223.5	-0.085
224.0	-0.092
224.5	-0.090
225.0	-0.082
225.5	-0.080
226.0	-0.077
226.5	-0.071
227.0	-0.060
227.5	-0.059
228.0	-0.054
228.5	-0.056
229.0	-0.052
229.5	-0.050
230.0	-0.050
230.5	-0.054
231.0	-0.061
231.5	-0.064
232.0	-0.065
232.5	-0.067
233.0	-0.068
233.5	-0.076
234.0	-0.072
234.5	-0.072
235.0	-0.071
235.5	-0.070
236.0	-0.068
236.5	-0.067
237.0	-0.066
237.5	-0.065
238.0	-0.065
238.5	-0.067
239.0	-0.061
239.5	-0.063
240.0	-0.064
240.5	-0.060
241.0	-0.058
241.5	-0.058
242.0	-0.058
242.5	-0.057
243.0	-0.059
243.5	-0.057
244.0	-0.058
244.5	-0.062
245.0	-0.066
245.5	-0.064
246.0	-0.060
246.5	-0.057
247.0	-0.056
247.5	-0.054
248.0	-0.052
248.5	-0.051
249.0	-0.057
249.5	-0.058
250.0	-0.063
250.5	-0.065
251.0	-0.061
251.5	-0.061
252.0	-0.061
252.5	-0.059
253.0	-0.060
253.5	-0.065
254.0	-0.069
254.5	-0.068
255.0	-0.072
255.5	-0.071
256.0	-0.066
256.5	-0.063
257.0	-0.059
257.5	-0.058
258.0	-0.054
258.5	-0.052
259.0	-0.049
259.5	-0.046
260.0	-0.046
260.5	-0.043
261.0	-0.043
261.5	-0.047
262.0	-0.050
262.5	-0.058
263.0	-0.061
263.5	-0.064
264.0	-0.067
264.5	-0.063
265.0	-0.061
265.5	-0.056
266.0	-0.051
266.5	-0.047
267.0	-0.051
267.5	-0.056
268.0	-0.055
268.5	-0.058
269.0	-0.060
269.5	-0.056
270.0	-0.054
270.5	-0.048
271.0	-0.042
271.5	-0.043
272.0	-0.045
272.5	-0.042
273.0	-0.042
273.5	-0.045
274.0	-0.048
274.5	-0.047
275.0	-0.046
275.5	-0.046
276.0	-0.044
276.5	-0.042
277.0	-0.039
277.5	-0.039
278.0	-0.040
278.5	-0.042
279.0	-0.046
279.5	-0.046
280.0	-0.047
280.5	-0.046
281.0	-0.045
281.5	-0.043
282.0	-0.042
282.5	-0.042
283.0	-0.039
283.5	-0.041
284.0	-0.040
284.5	-0.040
285.0	-0.039
285.5	-0.038
286.0	-0.040
286.5	-0.038
287.0	-0.039
287.5	-0.043
288.0	-0.046
288.5	-0.047
289.0	-0.043
289.5	-0.044
290.0	-0.039
290.5	-0.037
291.0	-0.035
291.5	-0.035
292.0	-0.038
292.5	-0.044
293.0	-0.045
293.5	-0.040
294.0	-0.038
294.5	-0.037
295.0	-0.031
295.5	-0.029
296.0	-0.025
296.5	-0.027
297.0	-0.028
297.5	-0.031
298.0	-0.032
298.5	-0.032
299.0	-0.032
299.5	-0.035
300.0	-0.035
300.5	-0.033
301.0	-0.032
301.5	-0.036
302.0	-0.040
302.5	-0.044
303.0	-0.044
303.5	-0.042
304.0	-0.040
304.5	-0.043
305.0	-0.045
305.5	-0.043
306.0	-0.045
306.5	-0.051
307.0	-0.057
307.5	-0.059
308.0	-0.057
308.5	-0.054
309.0	-0.052
309.5	-0.051
310.0	-0.051
310.5	-0.047
311.0	-0.048
311.5	-0.052
312.0	-0.056
312.5	-0.058
313.0	-0.060
313.5	-0.057
314.0	-0.054
314.5	-0.052
315.0	-0.054
315.5	-0.051
316.0	-0.049
316.5	-0.057
317.0	-0.063
317.5	-0.069
318.0	-0.071
318.5	-0.067
319.0	-0.066
319.5	-0.064
320.0	-0.060
320.5	-0.056
321.0	-0.056
321.5	-0.060
